Experiment,Channel,Section,Treatment,Position,Rhyacophilidae,Polycentropodidae,Total_Prim_Cons,Chironomidae,Hydropsychidae,Baetidae,Simuliidae,Planorbidae,Primary_production,Total_Decomposition,Microbial_Decomposition
Exp_1_Experimental_Streams,A,1,Sham,A,55,109,314,196,111,5,2,0,2.32,0.027187775,0.022356111
Exp_1_Experimental_Streams,A,1,Sham,B,29,74,149,96,44,3,5,1,2.923333333,0.028289763,0.023197314
Exp_1_Experimental_Streams,A,1,Sham,C,79,117,761,486,263,1,11,0,3.216666667,0.0242221,0.023148411
Exp_1_Experimental_Streams,A,1,Sham,D,71,47,338,186,77,7,68,0,3.083333333,0.029545201,0.02247555
Exp_1_Experimental_Streams,A,1,Sham,E,6,7,197,171,21,0,2,3,0.91,0.026317871,0.018238546
Exp_1_Experimental_Streams,A,4,GH,A,65,213,730,361,304,13,51,1,0.59,0.032696111,0.021748262
Exp_1_Experimental_Streams,A,4,GH,B,54,50,1136,762,342,10,22,0,0.566666667,0.038643582,0.018668162
Exp_1_Experimental_Streams,A,4,GH,C,24,92,1457,1216,185,6,46,4,0.883333333,0.033396594,0.02141118
Exp_1_Experimental_Streams,A,4,GH,D,8,40,512,383,123,3,2,1,0.8,0.028035342,0.022724454
Exp_1_Experimental_Streams,A,4,GH,E,31,24,1452,1028,363,1,58,2,0.446666667,0.025353058,0.019390837
Exp_1_Experimental_Streams,B,7,GH,A,10,92,326,207,95,10,13,1,0.866666667,0.027677562,0.016429349
Exp_1_Experimental_Streams,B,7,GH,B,19,76,575,231,315,20,3,6,0.793333333,0.026510999,0.018785068
Exp_1_Experimental_Streams,B,7,GH,C,14,41,1069,761,266,24,15,3,0.953333333,0.025373841,0.015126949
Exp_1_Experimental_Streams,B,7,GH,D,6,15,191,81,85,7,0,18,1.253333333,0.024718682,0.014007506
Exp_1_Experimental_Streams,B,7,GH,E,0,4,357,330,17,0,0,10,1.173333333,0.024275424,0.021053208
Exp_1_Experimental_Streams,B,10,Sham,A,24,26,445,124,289,20,12,0,2.033333333,0.025303385,0.027389169
Exp_1_Experimental_Streams,B,10,Sham,B,30,43,653,192,447,11,2,1,1.453333333,0.022158995,0.030187941
Exp_1_Experimental_Streams,B,10,Sham,C,36,20,1444,1019,395,10,19,1,1.67,0.025946369,0.026434608
Exp_1_Experimental_Streams,B,10,Sham,D,0,14,172,82,74,3,1,12,1.86,0.023531158,0.021696267
Exp_1_Experimental_Streams,B,10,Sham,E,2,11,279,205,69,0,1,4,1.98,0.021961522,0.020583142