Experiment,Tank_ID,Treatment,Final_Mass,Growth_Rate_SGRW
Exp_1_Hatchery_Conditions,1,GH,12.81,2.446841343
Exp_1_Hatchery_Conditions,1,GH,11.09,2.442009294
Exp_1_Hatchery_Conditions,1,GH,12.5,2.861794445
Exp_1_Hatchery_Conditions,1,GH,14.61,2.699594041
Exp_1_Hatchery_Conditions,1,GH,13.37,2.098435015
Exp_1_Hatchery_Conditions,1,GH,9.13,2.195830267
Exp_1_Hatchery_Conditions,1,GH,10.35,2.57265996
Exp_1_Hatchery_Conditions,1,GH,13.46,2.337339188
Exp_1_Hatchery_Conditions,1,GH,15.89,2.390293884
Exp_1_Hatchery_Conditions,1,GH,12.24,2.523712933
Exp_1_Hatchery_Conditions,1,GH,13.28,2.593440357
Exp_1_Hatchery_Conditions,1,GH,11.14,2.316100959
Exp_1_Hatchery_Conditions,1,GH,10.66,1.891251533
Exp_1_Hatchery_Conditions,1,GH,21.52,2.938629744
Exp_1_Hatchery_Conditions,1,GH,11.77,2.321794073
Exp_1_Hatchery_Conditions,1,GH,11.51,1.800227776
Exp_1_Hatchery_Conditions,1,GH,12.62,2.585675445
Exp_1_Hatchery_Conditions,1,GH,14,2.721612022
Exp_1_Hatchery_Conditions,1,GH,12.58,2.719741909
Exp_1_Hatchery_Conditions,1,GH,12.96,2.974238545
Exp_1_Hatchery_Conditions,1,GH,17.22,2.635694395
Exp_1_Hatchery_Conditions,1,GH,12.23,2.224132827
Exp_1_Hatchery_Conditions,1,GH,12.15,2.208319482
Exp_1_Hatchery_Conditions,1,GH,12.47,2.397723992
Exp_1_Hatchery_Conditions,2,GH,9.97,2.567007727
Exp_1_Hatchery_Conditions,2,GH,18.47,2.797452579
Exp_1_Hatchery_Conditions,2,GH,16.03,2.534660746
Exp_1_Hatchery_Conditions,2,GH,12.75,2.422140677
Exp_1_Hatchery_Conditions,2,GH,9.38,2.28129729
Exp_1_Hatchery_Conditions,2,GH,18.83,2.741903018
Exp_1_Hatchery_Conditions,2,GH,14.58,2.456079887
Exp_1_Hatchery_Conditions,2,GH,12.24,2.858615134
Exp_1_Hatchery_Conditions,2,GH,11.08,2.535858965
Exp_1_Hatchery_Conditions,2,GH,7.4,2.176056152
Exp_1_Hatchery_Conditions,2,GH,14.36,3.070388282
Exp_1_Hatchery_Conditions,2,GH,10.68,2.555598854
Exp_1_Hatchery_Conditions,2,GH,13.91,2.840830065
Exp_1_Hatchery_Conditions,2,GH,13.1,2.855823621
Exp_1_Hatchery_Conditions,2,GH,13.54,2.92363831
Exp_1_Hatchery_Conditions,2,GH,13.76,2.4300391
Exp_1_Hatchery_Conditions,2,GH,19.65,2.750825391
Exp_1_Hatchery_Conditions,2,GH,13.95,2.533498018
Exp_1_Hatchery_Conditions,2,GH,12.3,2.649191572
Exp_1_Hatchery_Conditions,2,GH,9.78,2.058125605
Exp_1_Hatchery_Conditions,2,GH,13.12,2.836730597
Exp_1_Hatchery_Conditions,2,GH,11.6,2.547922149
Exp_1_Hatchery_Conditions,2,GH,11.71,2.653352201
Exp_1_Hatchery_Conditions,2,GH,11.98,2.690118999
Exp_1_Hatchery_Conditions,3,GH,9.48,2.378156691
Exp_1_Hatchery_Conditions,3,GH,11.18,2.238846568
Exp_1_Hatchery_Conditions,3,GH,15.44,2.498577616
Exp_1_Hatchery_Conditions,3,GH,15.76,2.680970479
Exp_1_Hatchery_Conditions,3,GH,9.72,2.510235202
Exp_1_Hatchery_Conditions,3,GH,15.56,2.231817686
Exp_1_Hatchery_Conditions,3,GH,11.95,2.751619534
Exp_1_Hatchery_Conditions,3,GH,9.35,2.639580391
Exp_1_Hatchery_Conditions,3,GH,14.28,2.784993348
Exp_1_Hatchery_Conditions,3,GH,26.23,3.276503746
Exp_1_Hatchery_Conditions,3,GH,15.51,2.230767451
Exp_1_Hatchery_Conditions,3,GH,7.14,1.667014025
Exp_1_Hatchery_Conditions,3,GH,13.87,2.919271617
Exp_1_Hatchery_Conditions,3,GH,13.05,2.43709329
Exp_1_Hatchery_Conditions,3,GH,14.1,2.70225142
Exp_1_Hatchery_Conditions,3,GH,12.81,1.934772472
Exp_1_Hatchery_Conditions,3,GH,10.41,2.521680655
Exp_1_Hatchery_Conditions,3,GH,19.83,2.686193714
Exp_1_Hatchery_Conditions,3,GH,15.09,2.501421714
Exp_1_Hatchery_Conditions,3,GH,12.02,2.681284655
Exp_1_Hatchery_Conditions,3,GH,13.17,2.544047799
Exp_1_Hatchery_Conditions,3,GH,13.49,2.069133966
Exp_1_Hatchery_Conditions,3,GH,10.13,2.485119598
Exp_1_Hatchery_Conditions,3,GH,11,2.618013073
Exp_1_Hatchery_Conditions,4,GH,16.87,2.76931335
Exp_1_Hatchery_Conditions,4,GH,15.56,2.59172664
Exp_1_Hatchery_Conditions,4,GH,14.39,2.289518108
Exp_1_Hatchery_Conditions,4,GH,9.87,2.078819312
Exp_1_Hatchery_Conditions,4,GH,14.33,2.848818092
Exp_1_Hatchery_Conditions,4,GH,14.14,2.676558818
Exp_1_Hatchery_Conditions,4,GH,11.96,2.193371269
Exp_1_Hatchery_Conditions,4,GH,10.04,2.685037465
Exp_1_Hatchery_Conditions,4,GH,15.33,2.29270786
Exp_1_Hatchery_Conditions,4,GH,13.17,2.766212195
Exp_1_Hatchery_Conditions,4,GH,13.97,2.937979613
Exp_1_Hatchery_Conditions,4,GH,7.96,2.180198415
Exp_1_Hatchery_Conditions,4,GH,10.81,2.111109702
Exp_1_Hatchery_Conditions,4,GH,8.91,2.278140442
Exp_1_Hatchery_Conditions,4,GH,12.83,2.031939511
Exp_1_Hatchery_Conditions,4,GH,11.33,2.49649569
Exp_1_Hatchery_Conditions,4,GH,10.78,2.563282589
Exp_1_Hatchery_Conditions,4,GH,11.24,2.386244494
Exp_1_Hatchery_Conditions,4,GH,11.37,2.379785262
Exp_1_Hatchery_Conditions,4,GH,15.06,2.679388061
Exp_1_Hatchery_Conditions,4,GH,10.45,2.836798893
Exp_1_Hatchery_Conditions,4,GH,10.69,2.324337778
Exp_1_Hatchery_Conditions,4,GH,14.04,2.606240004
Exp_1_Hatchery_Conditions,4,GH,9.63,2.295671032
Exp_1_Hatchery_Conditions,5,Sham,17.62,2.611504652
Exp_1_Hatchery_Conditions,5,Sham,4.23,0.941194152
Exp_1_Hatchery_Conditions,5,Sham,14.38,2.374057877
Exp_1_Hatchery_Conditions,5,Sham,12.36,2.179539746
Exp_1_Hatchery_Conditions,5,Sham,3.42,1.04423376
Exp_1_Hatchery_Conditions,5,Sham,4.09,1.022286778
Exp_1_Hatchery_Conditions,5,Sham,8.12,2.150845686
Exp_1_Hatchery_Conditions,5,Sham,3.72,1.033514831
Exp_1_Hatchery_Conditions,5,Sham,11.46,2.103612879
Exp_1_Hatchery_Conditions,5,Sham,8.06,1.775962519
Exp_1_Hatchery_Conditions,5,Sham,6.19,1.141602413
Exp_1_Hatchery_Conditions,5,Sham,13.22,2.111556837
Exp_1_Hatchery_Conditions,5,Sham,10.36,2.21123934
Exp_1_Hatchery_Conditions,5,Sham,15.17,2.696775482
Exp_1_Hatchery_Conditions,5,Sham,13.91,2.144669764
Exp_1_Hatchery_Conditions,5,Sham,16.25,2.448923168
Exp_1_Hatchery_Conditions,5,Sham,5.21,1.277287479
Exp_1_Hatchery_Conditions,5,Sham,5.43,1.53226095
Exp_1_Hatchery_Conditions,5,Sham,16.03,2.655307864
Exp_1_Hatchery_Conditions,5,Sham,12.34,2.695611021
Exp_1_Hatchery_Conditions,5,Sham,3.89,0.792433339
Exp_1_Hatchery_Conditions,5,Sham,9.03,2.24132605
Exp_1_Hatchery_Conditions,5,Sham,4.57,1.150060224
Exp_1_Hatchery_Conditions,5,Sham,14.24,2.263374093
Exp_1_Hatchery_Conditions,6,Sham,4.92,1.404197658
Exp_1_Hatchery_Conditions,6,Sham,9.17,1.840217521
Exp_1_Hatchery_Conditions,6,Sham,11.3,2.024873171
Exp_1_Hatchery_Conditions,6,Sham,9.11,2.178566278
Exp_1_Hatchery_Conditions,6,Sham,5.77,1.279551386
Exp_1_Hatchery_Conditions,6,Sham,3.81,1.182763262
Exp_1_Hatchery_Conditions,6,Sham,6.13,1.682397626
Exp_1_Hatchery_Conditions,6,Sham,12.01,2.035426136
Exp_1_Hatchery_Conditions,6,Sham,5.68,1.317207225
Exp_1_Hatchery_Conditions,6,Sham,19.4,2.659459407
Exp_1_Hatchery_Conditions,6,Sham,16.49,2.546739847
Exp_1_Hatchery_Conditions,6,Sham,13.6,2.584051407
Exp_1_Hatchery_Conditions,6,Sham,19.95,2.678811491
Exp_1_Hatchery_Conditions,6,Sham,17.23,2.359452935
Exp_1_Hatchery_Conditions,6,Sham,11.45,2.036155484
Exp_1_Hatchery_Conditions,6,Sham,4.8,1.091319159
Exp_1_Hatchery_Conditions,6,Sham,15.6,2.415111577
Exp_1_Hatchery_Conditions,6,Sham,4.3,0.920522202
Exp_1_Hatchery_Conditions,6,Sham,2.71,0.465988455
Exp_1_Hatchery_Conditions,6,Sham,11.41,1.764902808
Exp_1_Hatchery_Conditions,6,Sham,4.52,0.904391282
Exp_1_Hatchery_Conditions,6,Sham,7.7,2.057665301
Exp_1_Hatchery_Conditions,6,Sham,9.2,1.965438071
Exp_1_Hatchery_Conditions,6,Sham,3.47,1.023208101
Exp_1_Hatchery_Conditions,7,Sham,3.56,0.851327742
Exp_1_Hatchery_Conditions,7,Sham,4.63,0.788310993
Exp_1_Hatchery_Conditions,7,Sham,15.43,2.537359446
Exp_1_Hatchery_Conditions,7,Sham,18.47,2.807378168
Exp_1_Hatchery_Conditions,7,Sham,10.64,2.119030418
Exp_1_Hatchery_Conditions,7,Sham,4.6,1.097077477
Exp_1_Hatchery_Conditions,7,Sham,5.3,1.579955132
Exp_1_Hatchery_Conditions,7,Sham,16.45,2.240868554
Exp_1_Hatchery_Conditions,7,Sham,2.81,0.829662403
Exp_1_Hatchery_Conditions,7,Sham,4.9,0.9612636
Exp_1_Hatchery_Conditions,7,Sham,5.3,1.017693445
Exp_1_Hatchery_Conditions,7,Sham,4.57,0.915895692
Exp_1_Hatchery_Conditions,7,Sham,3.12,0.851721662
Exp_1_Hatchery_Conditions,7,Sham,19.11,2.728630272
Exp_1_Hatchery_Conditions,7,Sham,4.71,1.213194697
Exp_1_Hatchery_Conditions,7,Sham,6.95,1.477888277
Exp_1_Hatchery_Conditions,7,Sham,16.62,2.549945546
Exp_1_Hatchery_Conditions,7,Sham,4.24,1.110389177
Exp_1_Hatchery_Conditions,7,Sham,17.3,2.60053592
Exp_1_Hatchery_Conditions,7,Sham,12.3,2.387064266
Exp_1_Hatchery_Conditions,7,Sham,18.04,2.635694395
Exp_1_Hatchery_Conditions,7,Sham,4.28,1.352850598
Exp_1_Hatchery_Conditions,7,Sham,5.33,1.260247095
Exp_1_Hatchery_Conditions,7,Sham,4.94,1.13109243
Exp_1_Hatchery_Conditions,8,Sham,6.69,1.988362099
Exp_1_Hatchery_Conditions,8,Sham,13.36,2.335552207
Exp_1_Hatchery_Conditions,8,Sham,14.53,2.684862203
Exp_1_Hatchery_Conditions,8,Sham,16.23,2.649417067
Exp_1_Hatchery_Conditions,8,Sham,15.49,2.305101255
Exp_1_Hatchery_Conditions,8,Sham,4.98,1.439484005
Exp_1_Hatchery_Conditions,8,Sham,5.71,1.628792145
Exp_1_Hatchery_Conditions,8,Sham,9.56,2.623090242
Exp_1_Hatchery_Conditions,8,Sham,13.69,2.582959612
Exp_1_Hatchery_Conditions,8,Sham,4.67,1.511037266
Exp_1_Hatchery_Conditions,8,Sham,16.31,3.159466603
Exp_1_Hatchery_Conditions,8,Sham,16.83,2.697727388
Exp_1_Hatchery_Conditions,8,Sham,4.46,0.882837689
Exp_1_Hatchery_Conditions,8,Sham,15.87,3.381614777
Exp_1_Hatchery_Conditions,8,Sham,13.4,2.638555622
Exp_1_Hatchery_Conditions,8,Sham,17.92,2.690389836
Exp_1_Hatchery_Conditions,8,Sham,4.83,1.703310765
Exp_1_Hatchery_Conditions,8,Sham,4.89,1.576494729
Exp_1_Hatchery_Conditions,8,Sham,24.52,3.210530267
Exp_1_Hatchery_Conditions,8,Sham,4.26,1.434924794
Exp_1_Hatchery_Conditions,8,Sham,17.68,2.792582343
Exp_1_Hatchery_Conditions,8,Sham,9.81,2.154214314
Exp_1_Hatchery_Conditions,8,Sham,10.83,2.592891764
Exp_1_Hatchery_Conditions,8,Sham,15.19,3.023821047