Experiment,Tank,Treatment,Body_Mass,N_Excretion,P_Excretion
Exp_3_Hatchery_Conditions,141,Sham,8.8,12.83237705,0.783395029
Exp_3_Hatchery_Conditions,141,Sham,5.74,10.91888822,0.669564044
Exp_3_Hatchery_Conditions,141,Sham,6.69,9.074834702,0.959408225
Exp_3_Hatchery_Conditions,141,Sham,4.22,7.143802018,0.683438802
Exp_3_Hatchery_Conditions,141,Sham,12.38,11.93378949,1.496341396
Exp_3_Hatchery_Conditions,141,Sham,10.22,10.51233165,0.84905502
Exp_3_Hatchery_Conditions,141,Sham,5.62,8.667648645,0.878556773
Exp_3_Hatchery_Conditions,142,GH,10.49,17.3800703,2.603271291
Exp_3_Hatchery_Conditions,142,GH,7,8.975167813,1.071548926
Exp_3_Hatchery_Conditions,142,GH,9.26,16.73662654,0.838429416
Exp_3_Hatchery_Conditions,142,GH,13.05,19.71416109,1.065878115
Exp_3_Hatchery_Conditions,142,GH,10.57,10.67644822,1.065460686
Exp_3_Hatchery_Conditions,142,GH,11.07,11.94752576,0.658719444
Exp_3_Hatchery_Conditions,142,GH,12.32,18.35541475,1.078043704
Exp_3_Hatchery_Conditions,142,GH,5.01,7.728197862,0.943744728
Exp_3_Hatchery_Conditions,143,Sham,6.93,6.374010944,0.953528476
Exp_3_Hatchery_Conditions,143,Sham,11.22,14.27255108,0.729266505
Exp_3_Hatchery_Conditions,143,Sham,12.41,16.98096694,2.454633456
Exp_3_Hatchery_Conditions,143,Sham,5.72,8.766429168,1.530806497
Exp_3_Hatchery_Conditions,143,Sham,6.72,6.639122053,0.684384267
Exp_3_Hatchery_Conditions,143,Sham,6.52,8.939585176,0.545763973
Exp_3_Hatchery_Conditions,143,Sham,3.53,8.217769544,0.558873014
Exp_3_Hatchery_Conditions,144,GH,6.6,9.466653402,0.696046365
Exp_3_Hatchery_Conditions,144,GH,6.5,6.642200008,0.394569997
Exp_3_Hatchery_Conditions,144,GH,10.55,11.00509345,0.424725145
Exp_3_Hatchery_Conditions,144,GH,8.43,13.81120006,1.731143431
Exp_3_Hatchery_Conditions,144,GH,14.39,18.85446048,1.350433625
Exp_3_Hatchery_Conditions,144,GH,15.04,NA,NA
Exp_3_Hatchery_Conditions,144,GH,10.85,14.69117647,0.65981651